;2;5;7;9;15
30.04.2007;1.426;1.92;1.942;1.878;1.855
31.05.2007;1.57;2.105;2.055;1.98;1.938
29.06.2007;1.833;2.327;2.29;2.201;2.145
31.07.2007;1.805;2.243;2.123;2.099;2.056
31.08.2007;;1.989;1.965;;1.9
28.09.2007;;1.846;1.866;;1.917
31.10.2007;;1.81;1.807;;1.84
30.11.2007;;1.62;1.635;;1.7
31.12.2007;;1.606;1.634;;1.785
31.01.2008;;1.417;;;1.63
29.02.2008;;1.358;;;1.722
31.03.2008;;1.232;;;1.618
30.04.2008;;1.464;;;1.765
30.05.2008;;1.647;;;1.822
30.06.2008;;1.716;;;1.747
31.07.2008;;1.864;1.778;;1.698
29.08.2008;;;1.674;;1.619
30.09.2008;;;1.727;;
31.10.2008;;;1.908;;
28.11.2008;;;1.81;;
31.12.2008;;;1.834;;
30.01.2009;;1.925;1.86;;
27.02.2009;;1.249;1.3;;
31.03.2009;;0.979;1.189;;
30.04.2009;;1.073;1.32;;
29.05.2009;;1.204;1.558;;
30.06.2009;;1.023;1.389;;
31.07.2009;;0.888;1.252;;
31.08.2009;;0.809;1.135;;
30.09.2009;;0.568;0.991;;
30.10.2009;;0.689;1.023;;
30.11.2009;;0.577;0.895;;
31.12.2009;0.066;0.674;1.045;;
29.01.2010;-0.01;0.484;0.817;;
26.02.2010;-0.033;0.534;0.834;;
31.03.2010;;0.262;0.618;;
30.04.2010;;0.398;0.699;;
31.05.2010;;0.338;0.526;;
30.06.2010;0.023;0.775;0.755;;
30.07.2010;0.103;0.878;;;
31.08.2010;-0.15;0.479;;;
30.09.2010;-0.419;0.257;0.408;;
29.10.2010;-0.355;0.449;0.612;;
30.11.2010;-0.056;0.601;0.783;;
31.12.2010;-0.054;0.678;0.908;;
31.01.2011;0.049;0.745;0.903;;
28.02.2011;0.439;0.79;0.917;;
31.03.2011;-0.131;0.428;0.654;;
29.04.2011;-0.405;0.585;0.803;;
31.05.2011;0.441;0.639;0.772;;
30.06.2011;0.403;0.595;0.733;;
29.07.2011;0.388;0.567;0.689;;
31.08.2011;0.009;0.177;0.3;;
30.09.2011;-0.053;0.102;0.187;;
31.10.2011;-0.019;0.171;0.274;0.334;
30.11.2011;0.267;0.174;;0.396;
30.12.2011;0.254;-0.093;;0.071;
31.01.2012;0.345;0.038;;0.166;
29.02.2012;0.484;0.131;;0.296;
30.03.2012;0.284;-0.057;;0.188;0.449
30.04.2012;0.257;0;;0.14;0.345
31.05.2012;0.188;-0.071;;0.008;0.177
29.06.2012;0.328;0.011;;0.044;0.253
31.07.2012;0.219;-0.162;;-0.13;0.043
31.08.2012;0.188;-0.215;;;0.089
28.09.2012;-0.065;-0.436;;;0.081
31.10.2012;0.05;-0.227;;;0.276
30.11.2012;0.227;-0.134;;;0.204
31.12.2012;0.418;-0.163;;;0.179
31.01.2013;0.512;0.015;;;0.449
28.02.2013;0.589;0.041;;;0.56
29.03.2013;0.16;-0.329;;;0.284
30.04.2013;0.39;-0.295;;;0.23
31.05.2013;0.886;0.032;;;0.532
28.06.2013;0.046;0.026;0.551;;0.798
31.07.2013;0.007;-0.123;0.48;;0.731
30.08.2013;-0.108;-0.238;0.54;;0.883
30.09.2013;-0.269;-0.399;0.603;;0.993
31.10.2013;-0.197;-0.327;0.514;;0.901
29.11.2013;-0.114;-0.244;0.466;;0.894
31.12.2013;0.08;-0.05;0.649;;1.064
31.01.2014;-0.032;-0.162;0.471;;0.89
28.02.2014;0.146;0.016;0.596;;0.965
31.03.2014;-0.649;-0.779;0.254;;0.776
30.04.2014;-0.435;-0.565;0.19;;0.709
30.05.2014;-0.564;-0.694;0.043;;0.558
30.06.2014;-0.486;-0.616;-0.043;;0.518
31.07.2014;-0.708;-0.838;-0.288;;0.297
29.08.2014;-0.669;-0.799;-0.303;;0.035
30.09.2014;;-0.13;;;-0.037
31.10.2014;;-0.13;;;-0.068
28.11.2014;;-0.13;;;-0.21
31.12.2014;;-0.13;;;-0.091
